epoch,time,lr,train_loss,train_acc,test_loss,test_acc,cohen_kappa_score
0,0m7s,0.0100,0.9444,0.4861,0.6088,0.7581,
1,0m4s,0.0100,0.6114,0.7222,0.5438,0.7581,
2,0m4s,0.0100,0.5053,0.7500,0.6450,0.6935,
3,0m3s,0.0100,0.3991,0.8125,0.5625,0.7419,
4,0m4s,0.0100,0.2410,0.8750,0.5655,0.7903,
5,0m4s,0.0100,0.2202,0.9167,0.6918,0.6935,
6,0m4s,0.0100,0.1319,0.9444,0.8081,0.7258,
7,0m4s,0.0100,0.1595,0.9444,0.9625,0.7097,
8,0m4s,0.0100,0.0395,0.9861,1.4050,0.7419,
9,0m4s,0.0100,0.0284,0.9861,1.8444,0.7581,
10,0m4s,0.0010,0.0808,0.9653,1.7620,0.7097,
11,0m4s,0.0010,0.0675,0.9653,1.5430,0.7419,
12,0m4s,0.0010,0.0076,1.0000,1.4874,0.7097,
13,0m4s,0.0010,0.0246,0.9861,1.4815,0.7419,
14,0m3s,0.0010,0.0137,0.9931,1.5144,0.7419,
15,0m4s,0.0010,0.0252,0.9861,1.4556,0.7581,
16,0m4s,0.0010,0.0039,1.0000,1.3060,0.7903,
17,0m4s,0.0010,0.0085,1.0000,1.2006,0.8065,
18,0m4s,0.0010,0.0137,0.9931,1.0883,0.8226,
19,0m4s,0.0010,0.0034,1.0000,1.0243,0.8065,
20,0m4s,0.0001,0.0080,1.0000,0.9972,0.8065,
21,0m3s,0.0001,0.0018,1.0000,0.9784,0.8065,
22,0m4s,0.0001,0.0025,1.0000,0.9792,0.7742,
23,0m4s,0.0001,0.0015,1.0000,0.9872,0.7903,
24,0m4s,0.0001,0.0020,1.0000,0.9810,0.7903,
25,0m4s,0.0001,0.0019,1.0000,0.9921,0.7903,
26,0m4s,0.0001,0.0021,1.0000,0.9958,0.7903,
27,0m4s,0.0001,0.0090,1.0000,1.0099,0.7903,
28,0m3s,0.0001,0.0013,1.0000,1.0142,0.7903,
29,0m3s,0.0001,0.0111,0.9931,1.0041,0.7903,
