1		0.7704		0.7209		0.7495		0.7741		0.01000000
2		0.6636		0.6724		0.7818		0.7830		0.01000000
3		0.6317		0.6293		0.7925		0.7929		0.01000000
4		0.6051		0.6903		0.7985		0.7929		0.01000000
5		0.5943		0.6398		0.8031		0.7881		0.01000000
6		0.5820		0.6378		0.8045		0.7989		0.01000000
7		0.5627		0.6641		0.8102		0.7764		0.01000000
8		0.5654		0.6715		0.8084		0.7884		0.01000000
9		0.6033		0.6422		0.7959		0.7946		0.01000000
10		0.5517		0.6013		0.8146		0.8072		0.01000000
11		0.4690		0.5746		0.8397		0.8191		0.00100000
12		0.4242		0.5884		0.8538		0.8154		0.00100000
13		0.3960		0.6030		0.8608		0.8183		0.00100000
14		0.3750		0.6319		0.8662		0.8134		0.00100000
15		0.3430		0.6527		0.8775		0.8132		0.00100000
16		0.3164		0.6655		0.8848		0.8095		0.00100000
17		0.2892		0.7107		0.8953		0.8043		0.00100000
18		0.2628		0.7623		0.9066		0.8032		0.00100000
19		0.2365		0.7880		0.9144		0.8043		0.00100000
20		0.2091		0.8538		0.9258		0.7898		0.00100000
21		0.1521		0.7877		0.9484		0.8001		0.00010000
22		0.1169		0.8051		0.9615		0.7992		0.00010000
23		0.1069		0.8517		0.9647		0.8021		0.00010000
24		0.0986		0.8517		0.9693		0.7992		0.00010000
25		0.0908		0.8904		0.9715		0.7983		0.00010000
26		0.0837		0.8994		0.9741		0.8069		0.00010000
27		0.0782		0.9277		0.9758		0.8029		0.00010000
28		0.0746		0.9175		0.9778		0.7961		0.00010000
29		0.0698		0.9281		0.9780		0.7952		0.00010000
30		0.0651		0.9482		0.9801		0.7969		0.00010000
