1		0.8455		0.7662		0.7379		0.7448		0.01000000
2		0.7377		0.7070		0.7561		0.7713		0.01000000
3		0.6926		0.6596		0.7732		0.7858		0.01000000
4		0.6556		0.6593		0.7873		0.7815		0.01000000
5		0.6343		0.6346		0.7938		0.7878		0.01000000
6		0.6177		0.6446		0.8000		0.8023		0.01000000
7		0.6129		0.5893		0.8022		0.8114		0.01000000
8		0.6033		0.6172		0.8043		0.8052		0.01000000
9		0.6023		0.6518		0.8048		0.7938		0.01000000
10		0.6058		0.7154		0.8018		0.7639		0.01000000
11		0.5296		0.5448		0.8270		0.8214		0.00100000
12		0.5087		0.5299		0.8355		0.8268		0.00100000
13		0.5026		0.5314		0.8371		0.8231		0.00100000
14		0.4974		0.5212		0.8378		0.8265		0.00100000
15		0.4924		0.5204		0.8404		0.8288		0.00100000
16		0.4877		0.5149		0.8411		0.8320		0.00100000
17		0.4838		0.5226		0.8436		0.8305		0.00100000
18		0.4795		0.5163		0.8440		0.8311		0.00100000
19		0.4763		0.5168		0.8462		0.8271		0.00100000
20		0.4750		0.5202		0.8460		0.8308		0.00100000
21		0.4595		0.5083		0.8512		0.8314		0.00010000
22		0.4557		0.5080		0.8517		0.8305		0.00010000
23		0.4557		0.5095		0.8520		0.8320		0.00010000
24		0.4539		0.5077		0.8521		0.8340		0.00010000
25		0.4522		0.5104		0.8527		0.8280		0.00010000
26		0.4512		0.5049		0.8521		0.8331		0.00010000
27		0.4516		0.5062		0.8532		0.8328		0.00010000
28		0.4511		0.5056		0.8539		0.8334		0.00010000
29		0.4499		0.5077		0.8526		0.8342		0.00010000
30		0.4475		0.5062		0.8541		0.8362		0.00010000
