epoch,time,lr,train_loss,train_acc,test_loss,test_acc,cohen_kappa_score
0,34m50s,0.0100,0.8509,0.6247,0.8389,0.6889,0.7031
1,27m49s,0.0100,0.6387,0.7229,1.1246,0.4768,0.5109
2,27m48s,0.0100,0.5791,0.7506,0.9095,0.6034,0.6514
3,27m47s,0.0100,0.5460,0.7677,0.7926,0.7159,0.6968
4,27m48s,0.0100,0.5184,0.7818,0.9042,0.6037,0.6425
5,27m53s,0.0100,0.5003,0.7903,0.9291,0.6494,0.5840
6,27m45s,0.0100,0.4805,0.8008,0.7900,0.6932,0.6667
7,27m46s,0.0100,0.4650,0.8077,0.9871,0.6029,0.5884
8,27m45s,0.0100,0.4524,0.8151,1.2029,0.4688,0.5676
9,27m43s,0.0100,0.4404,0.8215,1.3486,0.3883,0.4308
10,27m51s,0.0010,0.1880,0.9285,0.8932,0.7641,0.7049
11,27m49s,0.0010,0.1108,0.9590,0.9493,0.7647,0.7233
12,27m46s,0.0010,0.0825,0.9705,0.9541,0.7792,0.7210
13,27m46s,0.0010,0.0656,0.9769,1.0466,0.7659,0.7212
14,27m51s,0.0010,0.0565,0.9804,0.9940,0.8157,0.7460
15,27m52s,0.0010,0.0509,0.9825,1.0380,0.8229,0.7518
16,27m48s,0.0010,0.0490,0.9831,1.0061,0.8110,0.7517
17,27m46s,0.0010,0.0475,0.9836,1.0131,0.8143,0.7475
18,27m44s,0.0010,0.0479,0.9834,0.9896,0.8175,0.7497
19,27m48s,0.0010,0.0484,0.9836,0.9962,0.7822,0.7130
20,27m44s,0.0001,0.0211,0.9937,1.0693,0.8194,0.7486
21,27m50s,0.0001,0.0130,0.9966,1.1051,0.8238,0.7542
22,27m47s,0.0001,0.0107,0.9973,1.1338,0.8225,0.7527
23,27m44s,0.0001,0.0094,0.9976,1.1316,0.8216,0.7486
24,27m49s,0.0001,0.0080,0.9981,1.1837,0.8281,0.7548
25,27m45s,0.0001,0.0074,0.9983,1.1962,0.8276,0.7546
26,27m31s,0.0001,0.0067,0.9986,1.2035,0.8258,0.7519
27,27m19s,0.0001,0.0062,0.9988,1.1885,0.8256,0.7544
28,27m24s,0.0001,0.0058,0.9988,1.2099,0.8279,0.7506
29,27m29s,0.0001,0.0053,0.9989,1.2209,0.8289,0.7552
