epoch,time,lr,train_loss,train_acc,test_loss,test_acc,cohen_kappa_score
0,7m60s,0.0100,0.8674,0.6046,0.9770,0.5600,0.5441
1,7m55s,0.0100,0.5837,0.7414,1.3597,0.3207,0.4007
2,7m56s,0.0100,0.4750,0.7976,1.2261,0.4925,0.4432
3,7m57s,0.0100,0.4041,0.8331,1.0095,0.5798,0.5478
4,7m56s,0.0100,0.3483,0.8575,1.2313,0.5154,0.4749
5,7m57s,0.0100,0.3126,0.8731,1.1159,0.6383,0.5497
6,7m56s,0.0100,0.2877,0.8854,1.1458,0.5985,0.4457
7,7m56s,0.0100,0.2667,0.8942,1.0903,0.6893,0.5249
8,7m56s,0.0100,0.2545,0.9001,1.4203,0.5571,0.5026
9,7m57s,0.0100,0.2446,0.9053,1.0200,0.7297,0.5780
10,7m58s,0.0010,0.0750,0.9734,1.1257,0.7662,0.6306
11,7m57s,0.0010,0.0374,0.9875,1.2404,0.7665,0.6353
12,7m56s,0.0010,0.0257,0.9918,1.3743,0.7786,0.6221
13,7m56s,0.0010,0.0176,0.9950,1.4599,0.7789,0.6275
14,7m56s,0.0010,0.0150,0.9956,1.4379,0.7782,0.6350
15,7m56s,0.0010,0.0119,0.9967,1.5193,0.7798,0.6115
16,7m56s,0.0010,0.0100,0.9972,1.5412,0.7865,0.6257
17,7m56s,0.0010,0.0087,0.9975,1.5740,0.7840,0.6198
18,7m56s,0.0010,0.0071,0.9983,1.6144,0.7847,0.6153
19,7m57s,0.0010,0.0066,0.9983,1.5324,0.7816,0.6304
20,7m56s,0.0001,0.0050,0.9989,1.5519,0.7836,0.6238
21,7m57s,0.0001,0.0047,0.9989,1.5561,0.7851,0.6287
22,7m57s,0.0001,0.0037,0.9993,1.5422,0.7838,0.6330
23,7m55s,0.0001,0.0039,0.9993,1.5399,0.7845,0.6328
24,7m54s,0.0001,0.0035,0.9994,1.5615,0.7841,0.6309
25,7m54s,0.0001,0.0035,0.9994,1.5641,0.7867,0.6315
26,7m54s,0.0001,0.0036,0.9994,1.5676,0.7866,0.6314
27,7m54s,0.0001,0.0034,0.9994,1.5572,0.7835,0.6257
28,7m54s,0.0001,0.0032,0.9995,1.5809,0.7865,0.6272
29,7m54s,0.0001,0.0031,0.9994,1.5815,0.7850,0.6264
