epoch,time,lr,train_loss,train_acc,test_loss,test_acc,cohen_kappa_score
0,13m43s,0.0100,0.8844,0.6011,1.0157,0.5829,0.5041
1,13m39s,0.0100,0.6350,0.7147,0.8907,0.6868,0.5840
2,13m39s,0.0100,0.5526,0.7598,0.8452,0.6891,0.5691
3,13m39s,0.0100,0.4979,0.7870,1.1514,0.5001,0.4864
4,13m39s,0.0100,0.4535,0.8110,1.2670,0.4534,0.5221
5,13m40s,0.0100,0.4182,0.8276,0.8039,0.7407,0.6197
6,13m39s,0.0100,0.3905,0.8408,1.2026,0.4927,0.4517
7,13m39s,0.0100,0.3687,0.8499,1.4236,0.3950,0.3250
8,13m39s,0.0100,0.3548,0.8572,0.9561,0.6597,0.5840
9,13m39s,0.0100,0.3398,0.8626,1.0516,0.6344,0.5659
10,13m40s,0.0010,0.1258,0.9526,1.1128,0.7572,0.6246
11,13m40s,0.0010,0.0703,0.9747,1.2392,0.7617,0.6283
12,13m40s,0.0010,0.0495,0.9827,1.3107,0.7770,0.6284
13,13m39s,0.0010,0.0385,0.9868,1.3256,0.7655,0.6272
14,13m40s,0.0010,0.0301,0.9899,1.3893,0.7732,0.6402
15,13m39s,0.0010,0.0249,0.9919,1.4064,0.7720,0.6319
16,13m39s,0.0010,0.0227,0.9927,1.4220,0.7739,0.6301
17,13m39s,0.0010,0.0197,0.9938,1.4598,0.7802,0.6263
18,13m39s,0.0010,0.0187,0.9941,1.4557,0.7776,0.6283
19,13m39s,0.0010,0.0172,0.9944,1.4733,0.7642,0.6067
20,13m38s,0.0001,0.0110,0.9970,1.4649,0.7803,0.6287
21,13m38s,0.0001,0.0082,0.9980,1.4637,0.7813,0.6354
22,13m38s,0.0001,0.0067,0.9985,1.4940,0.7842,0.6358
23,13m38s,0.0001,0.0062,0.9985,1.5209,0.7847,0.6273
24,13m38s,0.0001,0.0055,0.9988,1.5379,0.7863,0.6295
25,13m38s,0.0001,0.0053,0.9989,1.5224,0.7854,0.6342
26,13m38s,0.0001,0.0049,0.9990,1.5342,0.7857,0.6340
27,13m38s,0.0001,0.0049,0.9989,1.5455,0.7857,0.6325
28,13m38s,0.0001,0.0043,0.9992,1.5401,0.7864,0.6293
29,13m38s,0.0001,0.0043,0.9992,1.5271,0.7839,0.6304
