epoch,time,lr,train_loss,train_acc,test_loss,test_acc,cohen_kappa_score
0,2m60s,0.0100,0.8954,0.5999,1.2113,0.3868,0.4252
1,2m57s,0.0100,0.5177,0.7755,1.1420,0.5297,0.4221
2,3m2s,0.0100,0.3676,0.8481,0.9908,0.6482,0.4884
3,2m57s,0.0100,0.2626,0.8952,1.4191,0.4880,0.4104
4,2m59s,0.0100,0.2060,0.9185,1.1807,0.6091,0.4616
5,2m58s,0.0100,0.1785,0.9302,1.4199,0.5249,0.4234
6,2m56s,0.0100,0.1399,0.9453,1.1581,0.7110,0.4807
7,2m56s,0.0100,0.1284,0.9522,1.0708,0.7187,0.4856
8,2m56s,0.0100,0.1096,0.9597,1.3768,0.6039,0.4417
9,3m2s,0.0100,0.1189,0.9557,1.2398,0.7000,0.5105
10,3m32s,0.0010,0.0327,0.9905,1.3420,0.7577,0.5330
11,3m32s,0.0010,0.0123,0.9972,1.4697,0.7609,0.5534
12,3m26s,0.0010,0.0095,0.9974,1.5686,0.7628,0.5429
13,3m27s,0.0010,0.0059,0.9987,1.6532,0.7659,0.5416
14,3m32s,0.0010,0.0048,0.9989,1.6900,0.7698,0.5577
15,3m27s,0.0010,0.0043,0.9990,1.6939,0.7591,0.5418
16,3m27s,0.0010,0.0038,0.9990,1.7719,0.7635,0.5463
17,3m27s,0.0010,0.0028,0.9995,1.8210,0.7704,0.5439
18,3m27s,0.0010,0.0026,0.9993,1.7889,0.7658,0.5495
19,3m27s,0.0010,0.0023,0.9996,1.7765,0.7615,0.5514
20,3m27s,0.0001,0.0021,0.9997,1.7891,0.7641,0.5530
21,3m27s,0.0001,0.0018,0.9998,1.8021,0.7649,0.5496
22,3m27s,0.0001,0.0022,0.9995,1.8244,0.7658,0.5515
23,3m27s,0.0001,0.0020,0.9997,1.8567,0.7696,0.5500
24,3m27s,0.0001,0.0018,0.9998,1.8470,0.7698,0.5547
25,3m27s,0.0001,0.0018,0.9997,1.8594,0.7692,0.5514
26,3m26s,0.0001,0.0016,0.9998,1.8122,0.7653,0.5513
27,3m27s,0.0001,0.0016,0.9998,1.8309,0.7674,0.5476
28,3m27s,0.0001,0.0017,0.9997,1.8289,0.7678,0.5529
29,3m29s,0.0001,0.0018,0.9997,1.8387,0.7677,0.5505
