epoch,time,lr,train_loss,train_acc,test_loss,test_acc,cohen_kappa_score
0,22m49s,0.0100,0.8212,0.6350,1.0610,0.4489,0.5250
1,22m40s,0.0100,0.5448,0.7640,0.7741,0.7233,0.6730
2,23m31s,0.0100,0.4447,0.8163,1.2591,0.5237,0.4413
3,23m43s,0.0100,0.3793,0.8471,1.5972,0.3510,0.5175
4,23m43s,0.0100,0.3330,0.8684,1.0113,0.6259,0.5870
5,24m8s,0.0100,0.3046,0.8810,1.0454,0.6493,0.6208
6,23m22s,0.0100,0.2856,0.8888,0.8758,0.7087,0.6393
7,22m9s,0.0100,0.2624,0.8988,0.8489,0.7058,0.6613
8,22m44s,0.0100,0.2474,0.9045,0.8740,0.7208,0.6569
9,23m46s,0.0100,0.2415,0.9070,0.8339,0.7815,0.7018
10,23m11s,0.0010,0.0741,0.9746,0.9627,0.8112,0.7342
11,23m17s,0.0010,0.0360,0.9887,1.0330,0.8088,0.7349
12,23m51s,0.0010,0.0250,0.9925,1.1402,0.8193,0.7423
13,22m31s,0.0010,0.0190,0.9945,1.1691,0.8146,0.7370
14,20m43s,0.0010,0.0146,0.9961,1.2358,0.8158,0.7355
15,20m46s,0.0010,0.0124,0.9966,1.2181,0.8178,0.7369
16,20m58s,0.0010,0.0105,0.9971,1.2320,0.8131,0.7322
17,20m44s,0.0010,0.0092,0.9977,1.2407,0.8174,0.7363
18,20m46s,0.0010,0.0079,0.9980,1.2442,0.8199,0.7463
19,18m14s,0.0010,0.0069,0.9982,1.2956,0.8163,0.7210
20,18m0s,0.0001,0.0054,0.9987,1.2748,0.8187,0.7294
21,17m51s,0.0001,0.0047,0.9991,1.3016,0.8208,0.7320
22,17m28s,0.0001,0.0041,0.9992,1.2838,0.8190,0.7292
23,17m23s,0.0001,0.0040,0.9992,1.2948,0.8195,0.7330
24,16m0s,0.0001,0.0040,0.9993,1.2851,0.8181,0.7329
25,14m51s,0.0001,0.0036,0.9994,1.2987,0.8191,0.7318
26,14m57s,0.0001,0.0036,0.9994,1.3150,0.8219,0.7371
27,14m55s,0.0001,0.0036,0.9994,1.3027,0.8210,0.7349
28,15m2s,0.0001,0.0033,0.9995,1.3231,0.8205,0.7358
29,15m0s,0.0001,0.0032,0.9995,1.3077,0.8194,0.7367
