epoch,time,lr,train_loss,train_acc,test_loss,test_acc,cohen_kappa_score
0,22m57s,0.0100,0.8611,0.6131,0.8616,0.7109,0.6319
1,22m53s,0.0100,0.6549,0.7065,0.9412,0.6654,0.5098
2,22m54s,0.0100,0.5994,0.7364,0.8994,0.6235,0.5785
3,22m58s,0.0100,0.5608,0.7564,1.1384,0.4645,0.4995
4,22m59s,0.0100,0.5291,0.7730,1.2163,0.5286,0.3918
5,22m59s,0.0100,0.4950,0.7915,1.8060,0.3018,0.2377
6,22m59s,0.0100,0.4678,0.8041,1.5302,0.2781,0.3590
7,22m58s,0.0100,0.4442,0.8163,1.1647,0.5876,0.4141
8,22m59s,0.0100,0.4269,0.8246,1.0200,0.5716,0.5068
9,22m59s,0.0100,0.4130,0.8304,0.9651,0.6468,0.5211
10,22m59s,0.0010,0.1641,0.9349,1.0937,0.7502,0.6311
11,23m0s,0.0010,0.0926,0.9650,1.2198,0.7526,0.6373
12,22m60s,0.0010,0.0646,0.9765,1.2871,0.7501,0.6328
13,22m60s,0.0010,0.0493,0.9823,1.3848,0.7734,0.6338
14,23m4s,0.0010,0.0414,0.9855,1.3644,0.7600,0.6454
15,23m2s,0.0010,0.0365,0.9871,1.3591,0.7725,0.6336
16,23m2s,0.0010,0.0349,0.9877,1.3644,0.7625,0.6159
17,23m3s,0.0010,0.0333,0.9885,1.3494,0.7698,0.6304
18,23m2s,0.0010,0.0322,0.9888,1.3506,0.7504,0.6218
19,23m2s,0.0010,0.0313,0.9892,1.3552,0.7431,0.6255
20,23m3s,0.0001,0.0144,0.9958,1.3943,0.7795,0.6418
21,23m3s,0.0001,0.0086,0.9977,1.4382,0.7819,0.6402
22,23m3s,0.0001,0.0066,0.9984,1.4584,0.7841,0.6406
23,23m3s,0.0001,0.0054,0.9987,1.4983,0.7837,0.6424
24,23m2s,0.0001,0.0050,0.9988,1.5279,0.7881,0.6446
25,23m2s,0.0001,0.0044,0.9990,1.5175,0.7869,0.6447
26,23m2s,0.0001,0.0039,0.9992,1.5299,0.7854,0.6426
27,23m4s,0.0001,0.0037,0.9991,1.5264,0.7855,0.6490
28,23m1s,0.0001,0.0033,0.9994,1.5478,0.7830,0.6408
29,23m0s,0.0001,0.0029,0.9995,1.5445,0.7854,0.6420
