epoch,time,lr,train_loss,train_acc,test_loss,test_acc,cohen_kappa_score
0,17m42s,0.0100,0.8756,0.6064,0.9527,0.6104,0.5707
1,17m39s,0.0100,0.6463,0.7104,0.9880,0.5598,0.5706
2,17m41s,0.0100,0.5774,0.7459,1.0564,0.5336,0.5434
3,17m42s,0.0100,0.5312,0.7716,0.9268,0.6493,0.5767
4,17m42s,0.0100,0.4991,0.7885,0.7883,0.7384,0.5945
5,17m42s,0.0100,0.4653,0.8048,0.9852,0.5955,0.5132
6,17m41s,0.0100,0.4409,0.8168,0.8848,0.6742,0.5785
7,17m41s,0.0100,0.4184,0.8276,0.8922,0.7062,0.6117
8,17m40s,0.0100,0.4038,0.8341,1.1608,0.5149,0.5132
9,17m40s,0.0100,0.3887,0.8414,0.9802,0.6438,0.5177
10,17m42s,0.0010,0.1591,0.9378,1.0615,0.7397,0.6252
11,17m41s,0.0010,0.0948,0.9641,1.1976,0.7570,0.6161
12,17m42s,0.0010,0.0679,0.9751,1.2481,0.7842,0.6456
13,17m41s,0.0010,0.0532,0.9811,1.2871,0.7797,0.6350
14,17m41s,0.0010,0.0443,0.9849,1.2840,0.7718,0.6315
15,17m40s,0.0010,0.0369,0.9875,1.3443,0.7605,0.6157
16,17m40s,0.0010,0.0331,0.9886,1.3359,0.7760,0.6427
17,17m39s,0.0010,0.0313,0.9893,1.3525,0.7721,0.6355
18,17m39s,0.0010,0.0290,0.9905,1.3169,0.7589,0.6296
19,17m39s,0.0010,0.0299,0.9898,1.3144,0.7477,0.6226
20,17m39s,0.0001,0.0160,0.9955,1.3517,0.7807,0.6453
21,17m39s,0.0001,0.0109,0.9971,1.3993,0.7853,0.6478
22,17m38s,0.0001,0.0091,0.9978,1.4157,0.7859,0.6426
23,17m39s,0.0001,0.0081,0.9980,1.4510,0.7867,0.6507
24,17m38s,0.0001,0.0072,0.9983,1.4673,0.7868,0.6454
25,17m39s,0.0001,0.0065,0.9986,1.4848,0.7903,0.6524
26,17m38s,0.0001,0.0063,0.9985,1.4897,0.7892,0.6535
27,17m37s,0.0001,0.0057,0.9987,1.4899,0.7863,0.6440
28,17m37s,0.0001,0.0054,0.9988,1.4936,0.7875,0.6414
29,17m37s,0.0001,0.0052,0.9990,1.5026,0.7904,0.6521
