epoch,time,lr,train_loss,train_acc,test_loss,test_acc,cohen_kappa_score
0,15m40s,0.0100,0.8790,0.6035,1.0982,0.5913,0.4875
1,15m37s,0.0100,0.6432,0.7113,0.8737,0.6646,0.5844
2,15m36s,0.0100,0.5678,0.7505,1.1013,0.4780,0.5204
3,15m38s,0.0100,0.5210,0.7761,0.8484,0.6995,0.6068
4,15m37s,0.0100,0.4776,0.7994,0.8636,0.7275,0.5947
5,15m37s,0.0100,0.4455,0.8146,1.0106,0.5715,0.5459
6,15m37s,0.0100,0.4176,0.8272,1.0330,0.6165,0.4551
7,15m36s,0.0100,0.3942,0.8381,1.6669,0.3377,0.3577
8,15m36s,0.0100,0.3787,0.8458,1.1391,0.5476,0.4917
9,15m35s,0.0100,0.3616,0.8527,1.2577,0.4933,0.4746
10,15m36s,0.0010,0.1414,0.9457,1.0781,0.7629,0.6426
11,15m36s,0.0010,0.0810,0.9697,1.2583,0.7288,0.6048
12,15m37s,0.0010,0.0582,0.9790,1.2783,0.7683,0.6463
13,15m36s,0.0010,0.0440,0.9848,1.3560,0.7766,0.6425
14,15m37s,0.0010,0.0356,0.9880,1.3574,0.7647,0.6508
15,15m36s,0.0010,0.0307,0.9896,1.4054,0.7633,0.6357
16,15m36s,0.0010,0.0276,0.9908,1.4337,0.7706,0.6448
17,15m35s,0.0010,0.0250,0.9918,1.4190,0.7765,0.6331
18,15m35s,0.0010,0.0233,0.9922,1.4404,0.7759,0.6374
19,15m35s,0.0010,0.0230,0.9924,1.3986,0.7609,0.6324
20,15m35s,0.0001,0.0136,0.9962,1.4555,0.7844,0.6456
21,15m35s,0.0001,0.0095,0.9975,1.4860,0.7842,0.6453
22,15m35s,0.0001,0.0083,0.9979,1.4749,0.7822,0.6494
23,15m34s,0.0001,0.0074,0.9983,1.5231,0.7855,0.6455
24,15m35s,0.0001,0.0064,0.9985,1.5356,0.7867,0.6531
25,15m35s,0.0001,0.0059,0.9987,1.5197,0.7865,0.6549
26,15m32s,0.0001,0.0057,0.9988,1.5235,0.7873,0.6535
27,15m30s,0.0001,0.0051,0.9989,1.5570,0.7875,0.6506
28,15m31s,0.0001,0.0051,0.9990,1.5470,0.7868,0.6513
29,15m30s,0.0001,0.0049,0.9990,1.5647,0.7876,0.6506
