epoch,time,lr,train_loss,train_acc,test_loss,test_acc,cohen_kappa_score
0,29m50s,0.0100,0.8256,0.6342,1.5607,0.2886,0.3764
1,32m13s,0.0100,0.5687,0.7563,1.0395,0.5808,0.5702
2,32m53s,0.0100,0.4825,0.7978,0.7358,0.7501,0.7004
3,32m55s,0.0100,0.4305,0.8257,1.2439,0.4520,0.5370
4,32m35s,0.0100,0.3919,0.8426,1.0333,0.5902,0.5649
5,33m12s,0.0100,0.3628,0.8548,0.7651,0.7455,0.6936
6,32m16s,0.0100,0.3404,0.8650,0.9081,0.6752,0.6452
7,32m13s,0.0100,0.3200,0.8750,1.0129,0.6216,0.6380
8,32m3s,0.0100,0.3056,0.8813,0.8545,0.7289,0.6223
9,31m12s,0.0100,0.2947,0.8849,1.0691,0.5891,0.5944
10,28m29s,0.0010,0.1016,0.9636,0.9243,0.8044,0.7478
11,28m50s,0.0010,0.0521,0.9824,1.0046,0.8068,0.7464
12,28m34s,0.0010,0.0368,0.9878,1.0817,0.8155,0.7449
13,28m16s,0.0010,0.0265,0.9917,1.1541,0.8202,0.7498
14,24m52s,0.0010,0.0213,0.9935,1.1802,0.8228,0.7493
15,24m39s,0.0010,0.0176,0.9947,1.1620,0.8181,0.7515
16,24m13s,0.0010,0.0146,0.9958,1.2046,0.8187,0.7376
17,23m32s,0.0010,0.0137,0.9962,1.1816,0.8201,0.7484
18,20m38s,0.0010,0.0120,0.9967,1.2216,0.8264,0.7526
19,20m50s,0.0010,0.0112,0.9968,1.1852,0.8096,0.7337
20,20m27s,0.0001,0.0081,0.9981,1.2145,0.8226,0.7426
21,19m46s,0.0001,0.0059,0.9987,1.2317,0.8230,0.7475
22,18m10s,0.0001,0.0055,0.9989,1.2369,0.8220,0.7446
23,18m1s,0.0001,0.0046,0.9991,1.2534,0.8246,0.7473
24,17m59s,0.0001,0.0047,0.9990,1.2513,0.8219,0.7440
25,17m30s,0.0001,0.0042,0.9992,1.2647,0.8247,0.7476
26,15m20s,0.0001,0.0041,0.9993,1.2636,0.8240,0.7463
27,15m16s,0.0001,0.0040,0.9993,1.2812,0.8256,0.7491
28,15m24s,0.0001,0.0041,0.9992,1.2846,0.8254,0.7460
29,15m35s,0.0001,0.0037,0.9993,1.2581,0.8231,0.7468
