epoch,time,lr,train_loss,train_acc,test_loss,test_acc,cohen_kappa_score
0,6m8s,0.0100,0.8778,0.6045,1.0960,0.5078,0.4503
1,6m5s,0.0100,0.5739,0.7463,1.1019,0.4756,0.5108
2,6m4s,0.0100,0.4523,0.8081,1.6276,0.3276,0.3965
3,6m6s,0.0100,0.3674,0.8487,0.9696,0.6041,0.5138
4,6m5s,0.0100,0.3164,0.8704,1.5021,0.4177,0.3874
5,6m6s,0.0100,0.2715,0.8919,0.9867,0.7632,0.6058
6,6m5s,0.0100,0.2518,0.9008,12.1357,0.0693,0.0174
7,6m5s,0.0100,0.2845,0.8892,1.2479,0.5561,0.5137
8,6m5s,0.0100,0.2158,0.9160,1.0647,0.6499,0.5092
9,6m5s,0.0100,0.2043,0.9221,1.2152,0.6607,0.5436
10,6m6s,0.0010,0.0648,0.9780,1.1532,0.7660,0.6222
11,6m6s,0.0010,0.0299,0.9905,1.2663,0.7700,0.6300
12,6m5s,0.0010,0.0195,0.9939,1.3649,0.7758,0.6239
13,6m5s,0.0010,0.0140,0.9960,1.4679,0.7796,0.6238
14,6m5s,0.0010,0.0118,0.9968,1.5179,0.7789,0.5992
15,6m5s,0.0010,0.0092,0.9976,1.5020,0.7778,0.6117
16,6m5s,0.0010,0.0076,0.9979,1.5212,0.7748,0.6103
17,6m6s,0.0010,0.0066,0.9984,1.5498,0.7822,0.6331
18,6m5s,0.0010,0.0057,0.9985,1.6255,0.7851,0.6126
19,6m5s,0.0010,0.0055,0.9988,1.5994,0.7848,0.6072
20,6m5s,0.0001,0.0044,0.9991,1.5524,0.7844,0.6198
21,6m5s,0.0001,0.0038,0.9993,1.5509,0.7837,0.6171
22,6m5s,0.0001,0.0037,0.9992,1.5406,0.7833,0.6314
23,6m5s,0.0001,0.0034,0.9993,1.5631,0.7847,0.6263
24,6m5s,0.0001,0.0034,0.9994,1.5675,0.7840,0.6202
25,6m5s,0.0001,0.0032,0.9995,1.5960,0.7837,0.6117
26,6m5s,0.0001,0.0031,0.9996,1.5865,0.7849,0.6159
27,6m5s,0.0001,0.0034,0.9994,1.5902,0.7841,0.6098
28,6m5s,0.0001,0.0029,0.9996,1.6188,0.7851,0.6113
29,6m5s,0.0001,0.0030,0.9995,1.6036,0.7860,0.6097
