epoch,time,lr,train_loss,train_acc,test_loss,test_acc,cohen_kappa_score
0,13m24s,0.0100,0.9478,0.5764,0.9125,0.6906,0.5651
1,13m26s,0.0100,0.7667,0.6565,1.0505,0.4678,0.5234
2,13m26s,0.0100,0.7264,0.6758,1.0338,0.5545,0.5010
3,13m26s,0.0100,0.7066,0.6837,0.9348,0.7144,0.5594
4,13m26s,0.0100,0.6816,0.6968,0.9988,0.5970,0.5066
5,13m26s,0.0100,0.6640,0.7050,1.1310,0.3938,0.4605
6,13m27s,0.0100,0.6496,0.7128,1.3537,0.3247,0.3594
7,13m27s,0.0100,0.6380,0.7186,1.0765,0.4665,0.4885
8,13m27s,0.0100,0.6255,0.7248,1.2355,0.4233,0.3714
9,13m27s,0.0100,0.6154,0.7313,0.8979,0.6673,0.5025
10,13m27s,0.0010,0.3606,0.8515,0.9771,0.6323,0.5326
11,13m27s,0.0010,0.2498,0.9001,1.0417,0.6321,0.5277
12,13m27s,0.0010,0.1964,0.9225,1.1100,0.6276,0.5420
13,13m27s,0.0010,0.1645,0.9369,1.0817,0.6708,0.5342
14,13m27s,0.0010,0.1428,0.9460,1.0191,0.7203,0.5683
15,13m27s,0.0010,0.1290,0.9515,1.1193,0.6912,0.5360
16,13m28s,0.0010,0.1172,0.9567,1.0383,0.7332,0.5936
17,13m28s,0.0010,0.1105,0.9589,1.1175,0.7101,0.5599
18,13m28s,0.0010,0.1042,0.9618,1.1265,0.6952,0.5538
19,13m28s,0.0010,0.0985,0.9642,1.1405,0.7158,0.5665
20,13m28s,0.0001,0.0391,0.9883,1.0853,0.7621,0.6034
21,13m28s,0.0001,0.0234,0.9941,1.1054,0.7686,0.6004
22,13m28s,0.0001,0.0189,0.9956,1.1099,0.7668,0.6050
23,13m29s,0.0001,0.0157,0.9965,1.1589,0.7758,0.6073
24,13m29s,0.0001,0.0139,0.9971,1.1345,0.7703,0.6022
25,13m28s,0.0001,0.0118,0.9978,1.1585,0.7730,0.6040
26,13m28s,0.0001,0.0110,0.9979,1.1640,0.7751,0.6067
27,13m28s,0.0001,0.0101,0.9982,1.1768,0.7754,0.6052
28,13m28s,0.0001,0.0093,0.9984,1.1697,0.7733,0.6025
29,13m28s,0.0001,0.0087,0.9985,1.1896,0.7769,0.6057
