epoch,time,lr,train_loss,train_acc,test_loss,test_acc,cohen_kappa_score
0,32m22s,0.0100,0.8242,0.6358,0.6774,0.7857,0.7250
1,36m15s,0.0100,0.5770,0.7512,0.7219,0.7707,0.7125
2,35m39s,0.0100,0.5008,0.7897,1.7696,0.2375,0.4090
3,37m5s,0.0100,0.4518,0.8132,0.7740,0.7239,0.7009
4,35m50s,0.0100,0.4172,0.8319,0.7743,0.7119,0.6768
5,34m54s,0.0100,0.3864,0.8452,1.1160,0.5140,0.5811
6,36m22s,0.0100,0.3636,0.8551,0.9420,0.6392,0.6333
7,36m30s,0.0100,0.3457,0.8631,0.8372,0.7316,0.6345
8,37m2s,0.0100,0.3333,0.8690,0.7440,0.7663,0.6985
9,32m2s,0.0100,0.3172,0.8756,0.7912,0.7567,0.6455
10,32m27s,0.0010,0.1112,0.9600,0.8826,0.7940,0.7396
11,32m19s,0.0010,0.0591,0.9797,0.9796,0.8014,0.7439
12,30m3s,0.0010,0.0411,0.9862,1.0771,0.8225,0.7569
13,27m45s,0.0010,0.0323,0.9896,1.0969,0.8207,0.7581
14,27m34s,0.0010,0.0253,0.9920,1.1471,0.8231,0.7548
15,27m2s,0.0010,0.0206,0.9937,1.1610,0.8217,0.7522
16,23m15s,0.0010,0.0191,0.9941,1.1624,0.8170,0.7471
17,23m13s,0.0010,0.0170,0.9948,1.2443,0.8240,0.7415
18,23m28s,0.0010,0.0150,0.9955,1.2067,0.8211,0.7445
19,21m49s,0.0010,0.0146,0.9958,1.1719,0.8231,0.7589
20,20m27s,0.0001,0.0090,0.9977,1.1768,0.8271,0.7629
21,20m22s,0.0001,0.0070,0.9983,1.1972,0.8276,0.7605
22,20m10s,0.0001,0.0060,0.9986,1.2046,0.8281,0.7580
23,17m35s,0.0001,0.0057,0.9988,1.2188,0.8284,0.7626
24,17m33s,0.0001,0.0051,0.9990,1.2116,0.8288,0.7616
25,17m44s,0.0001,0.0046,0.9992,1.2144,0.8285,0.7590
26,17m12s,0.0001,0.0043,0.9993,1.2396,0.8282,0.7554
27,16m9s,0.0001,0.0043,0.9992,1.2371,0.8272,0.7541
28,16m10s,0.0001,0.0042,0.9992,1.2399,0.8267,0.7566
29,16m10s,0.0001,0.0041,0.9992,1.2345,0.8275,0.7577
