epoch,time,lr,train_loss,train_acc,test_loss,test_acc,cohen_kappa_score
0,18m59s,0.0100,0.8267,0.6307,1.1698,0.6014,0.4439
1,19m21s,0.0100,0.5423,0.7660,0.8828,0.6496,0.6479
2,19m20s,0.0100,0.4290,0.8226,0.7302,0.7776,0.6881
3,19m2s,0.0100,0.3563,0.8570,1.0708,0.6052,0.5420
4,19m36s,0.0100,0.2994,0.8831,0.9418,0.6781,0.6409
5,18m23s,0.0100,0.2685,0.8953,0.8261,0.7260,0.6644
6,17m55s,0.0100,0.2446,0.9066,1.3359,0.5586,0.5649
7,18m48s,0.0100,0.2314,0.9108,0.9017,0.7150,0.6598
8,18m60s,0.0100,0.2176,0.9181,0.7999,0.7482,0.6910
9,19m31s,0.0100,0.2072,0.9217,1.1488,0.5835,0.5099
10,18m37s,0.0010,0.0613,0.9792,0.9579,0.8090,0.7329
11,18m23s,0.0010,0.0285,0.9913,1.0566,0.8141,0.7265
12,19m4s,0.0010,0.0195,0.9944,1.1270,0.8163,0.7263
13,19m19s,0.0010,0.0145,0.9960,1.1831,0.8143,0.7249
14,18m47s,0.0010,0.0117,0.9970,1.2172,0.8178,0.7254
15,19m13s,0.0010,0.0094,0.9976,1.2516,0.8199,0.7276
16,17m34s,0.0010,0.0081,0.9978,1.2163,0.8140,0.7260
17,17m3s,0.0010,0.0069,0.9984,1.3066,0.8222,0.7264
18,16m40s,0.0010,0.0056,0.9987,1.2608,0.8185,0.7295
19,16m38s,0.0010,0.0051,0.9989,1.2874,0.8213,0.7301
20,17m12s,0.0001,0.0040,0.9993,1.2645,0.8211,0.7307
21,17m2s,0.0001,0.0039,0.9993,1.3078,0.8212,0.7297
22,16m22s,0.0001,0.0036,0.9993,1.3109,0.8216,0.7327
23,15m15s,0.0001,0.0037,0.9994,1.2975,0.8219,0.7292
24,14m5s,0.0001,0.0033,0.9995,1.3015,0.8221,0.7328
25,14m29s,0.0001,0.0032,0.9994,1.2992,0.8213,0.7329
26,14m43s,0.0001,0.0032,0.9994,1.2901,0.8205,0.7278
27,14m31s,0.0001,0.0033,0.9995,1.3141,0.8223,0.7313
28,14m41s,0.0001,0.0029,0.9996,1.3094,0.8214,0.7315
29,14m53s,0.0001,0.0027,0.9996,1.3131,0.8211,0.7307
