epoch,time,lr,train_loss,train_acc,test_loss,test_acc,cohen_kappa_score
0,10m48s,0.0100,0.8287,0.6271,0.8987,0.6325,0.6041
1,10m25s,0.0100,0.5071,0.7802,1.2984,0.5819,0.4889
2,10m13s,0.0100,0.3658,0.8521,0.8039,0.7589,0.6630
3,10m16s,0.0100,0.2824,0.8876,0.8812,0.7432,0.6245
4,10m21s,0.0100,0.2251,0.9133,0.8610,0.7655,0.6710
5,10m14s,0.0100,0.1901,0.9270,0.9371,0.7399,0.6341
6,10m37s,0.0100,0.1709,0.9358,1.0152,0.7535,0.6336
7,10m11s,0.0100,0.1550,0.9416,0.8905,0.7331,0.6416
8,10m5s,0.0100,0.1411,0.9480,1.2000,0.6704,0.6332
9,10m26s,0.0100,0.1350,0.9500,1.0213,0.7305,0.6570
10,10m19s,0.0010,0.0356,0.9889,1.0532,0.8052,0.7041
11,9m50s,0.0010,0.0154,0.9961,1.1373,0.8083,0.7171
12,9m56s,0.0010,0.0103,0.9971,1.2281,0.8073,0.7040
13,11m9s,0.0010,0.0075,0.9981,1.3081,0.8125,0.7077
14,10m58s,0.0010,0.0050,0.9990,1.3681,0.8130,0.7073
15,10m50s,0.0010,0.0048,0.9989,1.3650,0.8110,0.7032
16,10m44s,0.0010,0.0043,0.9990,1.3802,0.8156,0.7144
17,10m36s,0.0010,0.0031,0.9994,1.3983,0.8156,0.7130
18,10m28s,0.0010,0.0034,0.9993,1.4056,0.8165,0.7169
19,10m41s,0.0010,0.0029,0.9995,1.4267,0.8145,0.7071
20,10m28s,0.0001,0.0026,0.9996,1.4000,0.8147,0.7134
21,10m48s,0.0001,0.0023,0.9996,1.3924,0.8146,0.7105
22,10m34s,0.0001,0.0022,0.9997,1.4235,0.8163,0.7103
23,10m38s,0.0001,0.0021,0.9997,1.4025,0.8155,0.7158
24,10m35s,0.0001,0.0021,0.9998,1.3967,0.8166,0.7180
25,10m34s,0.0001,0.0018,0.9997,1.3998,0.8168,0.7164
26,10m45s,0.0001,0.0018,0.9997,1.4075,0.8168,0.7161
27,10m45s,0.0001,0.0020,0.9997,1.4152,0.8168,0.7088
28,10m32s,0.0001,0.0022,0.9997,1.3943,0.8150,0.7126
29,10m38s,0.0001,0.0021,0.9997,1.4100,0.8164,0.7093
