epoch,time,lr,train_loss,train_acc,test_loss,test_acc,cohen_kappa_score
0,11m49s,0.0100,0.8740,0.6054,1.3465,0.2005,0.3537
1,11m46s,0.0100,0.6173,0.7233,1.3661,0.3129,0.3865
2,11m46s,0.0100,0.5302,0.7692,0.8758,0.6677,0.5779
3,11m47s,0.0100,0.4708,0.8003,0.7872,0.7625,0.6127
4,11m46s,0.0100,0.4239,0.8244,0.9242,0.6669,0.5859
5,11m46s,0.0100,0.3877,0.8411,0.8958,0.7395,0.6018
6,11m46s,0.0100,0.3589,0.8544,0.9727,0.6312,0.5343
7,11m46s,0.0100,0.3412,0.8618,1.5033,0.4205,0.3961
8,11m46s,0.0100,0.3217,0.8709,1.6109,0.4067,0.3259
9,11m46s,0.0100,0.3088,0.8777,0.9658,0.7580,0.5784
10,11m47s,0.0010,0.1116,0.9589,1.1091,0.7458,0.6157
11,11m47s,0.0010,0.0586,0.9797,1.2575,0.7603,0.6172
12,11m47s,0.0010,0.0411,0.9856,1.3503,0.7813,0.6247
13,11m46s,0.0010,0.0305,0.9900,1.3449,0.7665,0.6192
14,11m46s,0.0010,0.0242,0.9922,1.3989,0.7690,0.6202
15,11m46s,0.0010,0.0202,0.9936,1.4454,0.7715,0.6193
16,11m47s,0.0010,0.0173,0.9944,1.4710,0.7785,0.6322
17,11m46s,0.0010,0.0153,0.9955,1.4868,0.7747,0.6191
18,11m46s,0.0010,0.0140,0.9958,1.5154,0.7819,0.6322
19,11m46s,0.0010,0.0115,0.9968,1.5124,0.7760,0.6276
20,11m46s,0.0001,0.0086,0.9978,1.4959,0.7832,0.6381
21,11m45s,0.0001,0.0063,0.9986,1.5330,0.7838,0.6246
22,11m45s,0.0001,0.0054,0.9988,1.5445,0.7864,0.6278
23,11m45s,0.0001,0.0052,0.9989,1.5376,0.7874,0.6226
24,11m45s,0.0001,0.0051,0.9990,1.5405,0.7863,0.6311
25,11m45s,0.0001,0.0043,0.9993,1.5512,0.7857,0.6325
26,11m46s,0.0001,0.0044,0.9992,1.5527,0.7871,0.6383
27,11m45s,0.0001,0.0038,0.9994,1.5822,0.7874,0.6278
28,11m45s,0.0001,0.0037,0.9993,1.5722,0.7876,0.6304
29,11m46s,0.0001,0.0037,0.9993,1.5441,0.7851,0.6399
