epoch,time,lr,train_loss,train_acc,test_loss,test_acc,cohen_kappa_score
0,14m44s,0.0100,0.9946,0.5585,0.8900,0.6644,0.5672
1,14m38s,0.0100,0.7629,0.6562,1.1045,0.5431,0.4163
2,14m38s,0.0100,0.7072,0.6822,1.2264,0.3500,0.4424
3,14m38s,0.0100,0.6735,0.6988,0.9466,0.5976,0.5427
4,14m38s,0.0100,0.6512,0.7103,0.9106,0.6308,0.5447
5,14m39s,0.0100,0.6315,0.7205,0.9816,0.5792,0.5427
6,14m40s,0.0100,0.6170,0.7285,1.0034,0.5398,0.5417
7,14m39s,0.0100,0.6039,0.7366,1.1171,0.5323,0.4708
8,14m39s,0.0100,0.5901,0.7449,1.1947,0.5117,0.3962
9,14m39s,0.0100,0.5768,0.7507,1.5445,0.3027,0.3390
10,14m39s,0.0010,0.3130,0.8723,0.9692,0.6724,0.5784
11,14m39s,0.0010,0.2124,0.9155,1.0369,0.6743,0.5668
12,14m40s,0.0010,0.1705,0.9331,1.0724,0.6636,0.5551
13,14m41s,0.0010,0.1443,0.9454,1.0540,0.7149,0.5876
14,14m41s,0.0010,0.1287,0.9518,1.0413,0.7311,0.5974
15,14m41s,0.0010,0.1183,0.9563,1.0869,0.6995,0.5772
16,14m41s,0.0010,0.1114,0.9590,1.0996,0.7255,0.5700
17,14m41s,0.0010,0.1055,0.9617,1.0713,0.7544,0.6071
18,14m41s,0.0010,0.1030,0.9628,1.1000,0.7583,0.5957
19,14m40s,0.0010,0.1007,0.9633,1.1582,0.6935,0.5856
20,14m41s,0.0001,0.0377,0.9886,1.1407,0.7672,0.6196
21,14m41s,0.0001,0.0216,0.9940,1.1738,0.7709,0.6202
22,14m41s,0.0001,0.0158,0.9959,1.2213,0.7682,0.6115
23,14m40s,0.0001,0.0136,0.9964,1.2293,0.7791,0.6231
24,14m41s,0.0001,0.0119,0.9971,1.2415,0.7733,0.6103
25,14m41s,0.0001,0.0103,0.9977,1.2385,0.7749,0.6192
26,14m41s,0.0001,0.0096,0.9978,1.2564,0.7753,0.6149
27,14m41s,0.0001,0.0086,0.9981,1.2540,0.7725,0.6175
28,14m40s,0.0001,0.0081,0.9982,1.2872,0.7767,0.6054
29,14m40s,0.0001,0.0073,0.9984,1.3024,0.7750,0.6032
