epoch,time,lr,train_loss,train_acc,test_loss,test_acc,cohen_kappa_score
0,35m46s,0.0100,0.8758,0.6064,0.8713,0.6954,0.6109
1,26m41s,0.0100,0.6462,0.7123,0.9670,0.5527,0.5843
2,26m21s,0.0100,0.5730,0.7485,0.7537,0.7506,0.6713
3,26m10s,0.0100,0.5312,0.7708,1.1702,0.4544,0.4851
4,26m22s,0.0100,0.4991,0.7882,0.8241,0.6792,0.6729
5,26m33s,0.0100,0.4722,0.8022,1.0014,0.5640,0.5914
6,25m39s,0.0100,0.4478,0.8142,0.8391,0.7042,0.6231
7,24m52s,0.0100,0.4299,0.8242,0.8202,0.7327,0.6430
8,24m16s,0.0100,0.4127,0.8312,0.8432,0.7084,0.6447
9,24m10s,0.0100,0.3984,0.8385,0.7650,0.7520,0.6599
10,24m28s,0.0010,0.1588,0.9392,0.9637,0.7464,0.6872
11,23m57s,0.0010,0.0951,0.9647,1.0048,0.7760,0.7049
12,24m10s,0.0010,0.0704,0.9749,1.0351,0.7801,0.7164
13,24m10s,0.0010,0.0547,0.9810,1.0731,0.7986,0.7200
14,24m34s,0.0010,0.0457,0.9843,1.0922,0.7970,0.7219
15,23m57s,0.0010,0.0399,0.9866,1.1127,0.8031,0.7262
16,24m15s,0.0010,0.0362,0.9881,1.0911,0.8033,0.7304
17,24m1s,0.0010,0.0334,0.9889,1.1311,0.8034,0.7273
18,24m39s,0.0010,0.0330,0.9889,1.1167,0.7954,0.7253
19,24m22s,0.0010,0.0324,0.9892,1.1029,0.8026,0.7182
20,24m47s,0.0001,0.0165,0.9955,1.1418,0.8102,0.7309
21,24m43s,0.0001,0.0116,0.9971,1.1816,0.8098,0.7281
22,24m0s,0.0001,0.0099,0.9977,1.2127,0.8142,0.7309
23,24m19s,0.0001,0.0087,0.9980,1.2199,0.8108,0.7240
24,24m26s,0.0001,0.0080,0.9982,1.2377,0.8151,0.7290
25,24m23s,0.0001,0.0073,0.9984,1.2510,0.8149,0.7248
26,24m46s,0.0001,0.0069,0.9985,1.2442,0.8135,0.7271
27,24m23s,0.0001,0.0066,0.9986,1.2628,0.8119,0.7294
28,24m17s,0.0001,0.0057,0.9989,1.2688,0.8137,0.7279
29,24m5s,0.0001,0.0059,0.9988,1.2783,0.8148,0.7275
