epoch,time,lr,train_loss,train_acc,test_loss,test_acc,cohen_kappa_score
0,14m48s,0.0100,0.8247,0.6287,1.6921,0.2142,0.3739
1,14m43s,0.0100,0.5756,0.7514,0.7540,0.7677,0.6872
2,14m47s,0.0100,0.4000,0.8352,0.9239,0.6866,0.5678
3,15m23s,0.0100,0.3170,0.8746,0.7605,0.7872,0.6927
4,14m30s,0.0100,0.2671,0.8964,1.9054,0.3615,0.5175
5,15m14s,0.0100,0.2444,0.9046,0.8253,0.8001,0.6989
6,15m26s,0.0100,0.2100,0.9189,0.8882,0.7929,0.6762
7,15m33s,0.0100,0.2021,0.9238,0.9621,0.7316,0.6663
8,15m29s,0.0100,0.1809,0.9316,0.9545,0.7066,0.6562
9,14m36s,0.0100,0.1744,0.9340,0.9238,0.7760,0.6719
10,14m27s,0.0010,0.0515,0.9843,1.0004,0.8004,0.7258
11,15m6s,0.0010,0.0242,0.9930,1.0961,0.8141,0.7350
12,15m12s,0.0010,0.0157,0.9958,1.1407,0.8141,0.7338
13,15m7s,0.0010,0.0118,0.9969,1.2498,0.8155,0.7175
14,14m54s,0.0010,0.0100,0.9974,1.2907,0.8190,0.7166
15,14m51s,0.0010,0.0090,0.9977,1.2469,0.8187,0.7315
16,14m47s,0.0010,0.0069,0.9983,1.2611,0.8157,0.7305
17,14m54s,0.0010,0.0056,0.9989,1.2606,0.8140,0.7324
18,14m45s,0.0010,0.0049,0.9988,1.2884,0.8169,0.7270
19,14m59s,0.0010,0.0041,0.9992,1.2801,0.8193,0.7307
20,14m30s,0.0001,0.0033,0.9995,1.3064,0.8208,0.7299
21,12m34s,0.0001,0.0036,0.9994,1.3267,0.8226,0.7302
22,12m52s,0.0001,0.0033,0.9994,1.3051,0.8225,0.7345
23,12m46s,0.0001,0.0032,0.9994,1.3209,0.8194,0.7224
24,12m49s,0.0001,0.0031,0.9995,1.3327,0.8212,0.7267
25,13m11s,0.0001,0.0029,0.9997,1.2750,0.8193,0.7327
26,12m46s,0.0001,0.0029,0.9995,1.2942,0.8205,0.7338
27,13m4s,0.0001,0.0028,0.9996,1.2903,0.8207,0.7327
28,12m31s,0.0001,0.0025,0.9997,1.3193,0.8205,0.7330
29,12m52s,0.0001,0.0027,0.9996,1.3005,0.8207,0.7329
