
Test set: Average loss: 0.8174, Accuracy: 6530/8871 (74%)


Test set: Average loss: 0.8129, Accuracy: 6537/8871 (74%)


Test set: Average loss: 0.8158, Accuracy: 6551/8871 (74%)


Test set: Average loss: 0.8211, Accuracy: 6473/8871 (73%)


Test set: Average loss: 0.8275, Accuracy: 6486/8871 (73%)


Test set: Average loss: 0.8113, Accuracy: 6536/8871 (74%)


Test set: Average loss: 0.8109, Accuracy: 6525/8871 (74%)


Test set: Average loss: 0.8128, Accuracy: 6535/8871 (74%)


Test set: Average loss: 0.8158, Accuracy: 6535/8871 (74%)


Test set: Average loss: 0.8251, Accuracy: 6491/8871 (73%)


Test set: Average loss: 0.8172, Accuracy: 6487/8871 (73%)


Test set: Average loss: 0.8183, Accuracy: 6529/8871 (74%)


Test set: Average loss: 0.8175, Accuracy: 6507/8871 (73%)


Test set: Average loss: 0.8124, Accuracy: 6479/8871 (73%)


Test set: Average loss: 0.8171, Accuracy: 6537/8871 (74%)


Test set: Average loss: 0.8131, Accuracy: 6549/8871 (74%)


Test set: Average loss: 0.8088, Accuracy: 6514/8871 (73%)


Test set: Average loss: 0.8173, Accuracy: 6492/8871 (73%)


Test set: Average loss: 0.8146, Accuracy: 6484/8871 (73%)


Test set: Average loss: 0.8095, Accuracy: 6524/8871 (74%)


Test set: Average loss: 0.8118, Accuracy: 6515/8871 (73%)


Test set: Average loss: 0.8159, Accuracy: 6533/8871 (74%)


Test set: Average loss: 0.8172, Accuracy: 6546/8871 (74%)


Test set: Average loss: 0.8121, Accuracy: 6506/8871 (73%)


Test set: Average loss: 0.8170, Accuracy: 6487/8871 (73%)


Test set: Average loss: 0.8123, Accuracy: 6495/8871 (73%)


Test set: Average loss: 0.8171, Accuracy: 6522/8871 (74%)


Test set: Average loss: 0.8131, Accuracy: 6547/8871 (74%)


Test set: Average loss: 0.8183, Accuracy: 6490/8871 (73%)


Test set: Average loss: 0.8130, Accuracy: 6491/8871 (73%)


Test set: Average loss: 0.8126, Accuracy: 6536/8871 (74%)


Test set: Average loss: 0.8154, Accuracy: 6507/8871 (73%)


Test set: Average loss: 0.8162, Accuracy: 6499/8871 (73%)


Test set: Average loss: 0.8090, Accuracy: 6541/8871 (74%)


Test set: Average loss: 0.8189, Accuracy: 6514/8871 (73%)


Test set: Average loss: 0.8206, Accuracy: 6541/8871 (74%)


Test set: Average loss: 0.8182, Accuracy: 6528/8871 (74%)


Test set: Average loss: 0.8271, Accuracy: 6386/8871 (72%)


Test set: Average loss: 0.8129, Accuracy: 6503/8871 (73%)


Test set: Average loss: 0.8224, Accuracy: 6450/8871 (73%)


Test set: Average loss: 0.8193, Accuracy: 6519/8871 (73%)


Test set: Average loss: 0.8222, Accuracy: 6532/8871 (74%)


Test set: Average loss: 0.8251, Accuracy: 6446/8871 (73%)


Test set: Average loss: 0.8156, Accuracy: 6489/8871 (73%)


Test set: Average loss: 0.8169, Accuracy: 6524/8871 (74%)


Test set: Average loss: 0.8221, Accuracy: 6473/8871 (73%)


Test set: Average loss: 0.8146, Accuracy: 6502/8871 (73%)


Test set: Average loss: 0.8237, Accuracy: 6468/8871 (73%)


Test set: Average loss: 0.8225, Accuracy: 6436/8871 (73%)


Test set: Average loss: 0.8347, Accuracy: 6429/8871 (72%)


Test set: Average loss: 0.8193, Accuracy: 6475/8871 (73%)


Test set: Average loss: 0.8272, Accuracy: 6504/8871 (73%)


Test set: Average loss: 0.8235, Accuracy: 6543/8871 (74%)


Test set: Average loss: 0.8312, Accuracy: 6425/8871 (72%)


Test set: Average loss: 0.8352, Accuracy: 6535/8871 (74%)


Test set: Average loss: 0.8312, Accuracy: 6508/8871 (73%)


Test set: Average loss: 0.8255, Accuracy: 6444/8871 (73%)


Test set: Average loss: 0.8212, Accuracy: 6473/8871 (73%)


Test set: Average loss: 0.8212, Accuracy: 6510/8871 (73%)


Test set: Average loss: 0.8253, Accuracy: 6473/8871 (73%)


Test set: Average loss: 0.8417, Accuracy: 6391/8871 (72%)


Test set: Average loss: 0.8224, Accuracy: 6513/8871 (73%)


Test set: Average loss: 0.8236, Accuracy: 6481/8871 (73%)


Test set: Average loss: 0.8249, Accuracy: 6466/8871 (73%)


Test set: Average loss: 0.8267, Accuracy: 6487/8871 (73%)


Test set: Average loss: 0.8308, Accuracy: 6506/8871 (73%)


Test set: Average loss: 0.8420, Accuracy: 6452/8871 (73%)


Test set: Average loss: 0.8399, Accuracy: 6523/8871 (74%)


Test set: Average loss: 0.8276, Accuracy: 6500/8871 (73%)


Test set: Average loss: 0.8346, Accuracy: 6443/8871 (73%)


Test set: Average loss: 0.8326, Accuracy: 6481/8871 (73%)


Test set: Average loss: 0.8223, Accuracy: 6475/8871 (73%)


Test set: Average loss: 0.8382, Accuracy: 6515/8871 (73%)


Test set: Average loss: 0.8322, Accuracy: 6432/8871 (73%)


Test set: Average loss: 0.8301, Accuracy: 6477/8871 (73%)


Test set: Average loss: 0.8374, Accuracy: 6426/8871 (72%)


Test set: Average loss: 0.8298, Accuracy: 6427/8871 (72%)


Test set: Average loss: 0.8345, Accuracy: 6470/8871 (73%)


Test set: Average loss: 0.8403, Accuracy: 6427/8871 (72%)


Test set: Average loss: 0.8338, Accuracy: 6518/8871 (73%)


Test set: Average loss: 0.8349, Accuracy: 6473/8871 (73%)


Test set: Average loss: 0.8362, Accuracy: 6484/8871 (73%)


Test set: Average loss: 0.8390, Accuracy: 6452/8871 (73%)


Test set: Average loss: 0.8308, Accuracy: 6496/8871 (73%)


Test set: Average loss: 0.8446, Accuracy: 6485/8871 (73%)


Test set: Average loss: 0.8453, Accuracy: 6458/8871 (73%)


Test set: Average loss: 0.8494, Accuracy: 6435/8871 (73%)


Test set: Average loss: 0.8417, Accuracy: 6478/8871 (73%)


Test set: Average loss: 0.8385, Accuracy: 6488/8871 (73%)


Test set: Average loss: 0.8517, Accuracy: 6426/8871 (72%)


Test set: Average loss: 0.8437, Accuracy: 6438/8871 (73%)


Test set: Average loss: 0.8601, Accuracy: 6320/8871 (71%)


Test set: Average loss: 0.8496, Accuracy: 6485/8871 (73%)


Test set: Average loss: 0.8539, Accuracy: 6447/8871 (73%)


Test set: Average loss: 0.8496, Accuracy: 6476/8871 (73%)


Test set: Average loss: 0.8523, Accuracy: 6371/8871 (72%)


Test set: Average loss: 0.8568, Accuracy: 6509/8871 (73%)


Test set: Average loss: 0.8460, Accuracy: 6475/8871 (73%)


Test set: Average loss: 0.8534, Accuracy: 6491/8871 (73%)


Test set: Average loss: 0.8538, Accuracy: 6532/8871 (74%)


Test set: Average loss: 0.8471, Accuracy: 6447/8871 (73%)


Test set: Average loss: 0.8557, Accuracy: 6333/8871 (71%)


